rule_id,+5,+4,+3,+2,+1,0,-1,-2,-3,-4,-5,Prev5%,Curr%,Next5%
E28_58,T1,T1,T1,T1,T1,T1,-,T1,-,T1,T1,1.0000,1.0000,1.0000
E28_59,T0,T0,T0,T0,T0,T1,-,T0,-,T0,T0,0.0000,1.0000,0.0000
E28_62,T1,T1,T1,-,T1,T1,T1,T1,T1,T1,T1,1.0000,1.0000,1.0000
E28_63,F,T1,T1,-,T2;0,T2;0,F,F,F,F,T1,1.0000,1.0000,1.0000
E28_65,T0,T0,T0,-,F,T0,T0,T0,T0,T0,T0,0.0000,0.0000,0.0000
E28_73,F,T1,T1,T1,F,T1,F,T1,F,T1,F,1.0000,1.0000,1.0000
E28_77,T1,T4;0,T1,F,F,T1,F,T1,F,F,F,1.0000,1.0000,1.0000
E28_82,T1,F,F,F,T1,F,-,F,T1,F,F,1.0000,,1.0000
E28_83,F,F,T1,F,F,T1,-,F,T1,T1,F,1.0000,1.0000,1.0000
E28_86,F,T0,F,F,F,F,-,F,F,F,T0,0.0000,,0.0000
E28_99,F,-,T1,T1,F,T1,T1,F,F,F,T1,1.0000,1.0000,1.0000
E29_04,-,-,-,-,T1,F,T1,T0,F,F,F,1.0000,,0.5000
E29_07,-,-,-,-,T1,T1,T1,T0,F,T0,T0,1.0000,1.0000,0.2500
E29_09,-,-,-,-,T1,T1,T1,T0,F,F,T0,1.0000,1.0000,0.3333
E29_10,-,-,-,-,T0,T0,T1,F,F,T0,T0,0.0000,0.0000,0.3333
E2_208,-,F,T0,-,-,-,-,-,-,T0,T0,0.0000,,0.0000
E2_215,-,-,T0,T0,T0,-,-,-,T0;1,T0,-,0.0000,,0.0000
E30_21,F,F,T1,F,T0,T1,T0,F,-,-,-,0.5000,1.0000,0.0000
E30_22,T0,T0,T1,F,T1,F,F,T1,-,-,-,0.5000,,1.0000
E35_52,T0,T0,T0,-,T0,T1,T1,T1,T1,T1,T1,0.0000,1.0000,1.0000
E35_53,T0,T0,T0,-,T0,T1,T1,T1,T1,T1,T1,0.0000,1.0000,1.0000
E36_02,T1,T0,T1,T1,T1,T1,T1,T1,T1,F,T1,0.8000,1.0000,1.0000
E38_03,-,T0;31,T0,T0,F,-,T0,T0;0,T1,F,T0,0.0000,,0.3333
E38_30,T0,T0,-,-,-,T1,T1,T1,T1,T1,-,0.0000,1.0000,1.0000
E39_65,F,F,F,F,T0,T1,T1,T1,F,F,T1,0.0000,1.0000,1.0000
E39_67,F,F,F,F,T1;1,F,F,T0,F,F,F,0.5000,,0.0000
E41_01,F,T0,T0,T0,T1,T1,T1,F,F,T1,T1,0.2500,1.0000,1.0000
E41_02,T0,T0,T0,T0,T0,T1,T1,F,T1,T1,F,0.0000,1.0000,1.0000
E41_04,T0,T0,T0,T0,T0,T1,T1,T1,T1,T1,T1,0.0000,1.0000,1.0000
E41_05,T1,F,T1,T1,F,T1,T1,F,F,T1,T1,1.0000,1.0000,1.0000
E41_06,F,T0,T0,F,T0,T1,T1,F,F,T1,F,0.0000,1.0000,1.0000
E41_12,F,T0,T0,T0,T0,T1,T1,F,T1,T1,F,0.0000,1.0000,1.0000
E41_13,F,T0,T0,T0,T0,T1,T1,T1,T1,F,F,0.0000,1.0000,1.0000
E41_15,F,F,T0,F,F,T1,F,F,F,T1,F,0.0000,1.0000,1.0000
E41_28,T1,F,T1,F,F,F,T1,T1,T1,T1,T1,1.0000,,1.0000
E41_49,F,F,F,F,T0,T1,T1,F,T1,T1,T1,0.0000,1.0000,1.0000
E41_54,F,F,F,F,T0;6,T0;0,T1,F,T1,T1,T1,0.0000,,1.0000
E41_56,F,F,F,F,T0,T3;0,T1,F,T1;0,F,F,0.0000,1.0000,1.0000
E41_60,F,F,T1,F,T1,T1,-,F,F,F,T1,1.0000,1.0000,1.0000
E43_02,F,F,T1,T1,T1,T1,T1,F,T1,T1,F,1.0000,1.0000,1.0000
E43_03,T1,T1,T1,T1,T1,T1,T0,T0,T1,T1,T0,1.0000,1.0000,0.4000
E43_04,T1,F,F,F,T1,T1,T1,F,F,T1,T1,1.0000,1.0000,1.0000
E43_05,T1,T1,T1,T1,T1,T1,T0,F,T1,F,F,1.0000,1.0000,0.5000
E43_06,T1,F,T1,T1,T1,F,T1,F,F,T1,F,1.0000,,1.0000
E48_43,T1,F,F,T1,F,T1,F,T1,F,F,F,1.0000,1.0000,1.0000
E50_38,-,T1,F,T1,F,F,F,T1,T2;0,T0;0,F,1.0000,,1.0000
E50_51,-,F,F,T3;0,F,F,F,F,T5;0,T1;0,F,1.0000,,1.0000
E50_52,-,T2;0,F,F,F,T2;0,F,T1,F,F,F,1.0000,1.0000,1.0000
E51_01,F,T1;0,T0;1,T2;0,T1;0,F,T1;0,T0;0,T0;0,T2;0,T2;0,0.8000,,1.0000
E51_11,F,F,T0;1,T0;1,F,T3;0,F,T0;0,T1;0,F,F,0.0000,1.0000,1.0000
E53_04,-,-,-,T0,T0,F,F,F,T1,T0,T0,0.0000,,0.3333
E54_03,-,-,T0,T0,T0,T0;1,T0;1,T0,T0,T0,T0,0.0000,0.0000,0.0000
E55_05,T22;0,T2;0,F,T0;0,F,F,F,F,-,F,T11;1,1.0000,,0.9167
E55_17,T0,T0,T0,T0,T0,T1,T1,T1,-,T0,T1,0.0000,1.0000,0.7500
E56_03,T0,T0,T0,T0,-,F,T1,T1,F,T1,T1,0.0000,,1.0000
E56_114,T0,T0,T0,T0,-,T1,-,F,-,T1,T1,0.0000,1.0000,1.0000
E56_116,T0,F,F,F,-,T1,-,T0,-,T0,F,0.0000,1.0000,0.0000
E56_118,F,T0,F,F,-,T1,-,T0,-,T0,T0,0.0000,1.0000,0.0000
E56_135,T1,T1,F,F,F,T0,T0,F,T1,F,F,1.0000,0.0000,0.5000
E56_147,T1,T1,T1,F,T1,T1,-,F,T1,F,T1,1.0000,1.0000,1.0000
E56_149,F,F,T1,F,F,T1,-,F,T1,T1,F,1.0000,1.0000,1.0000
E56_155,F,T1,T1,F,T1,T1,-,F,T1,T1,T1,1.0000,1.0000,1.0000
E56_17,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,0.0000,0.0000,0.0000
E56_43,-,-,T1,-,T1,T1,-,T1,T1,T1,T1,1.0000,1.0000,1.0000
E56_54,T0,F,F,T1,T1,T1,T0,T1,F,F,F,0.6667,1.0000,0.5000
E56_55,T0,T0,T0,T1,T0,T1,-,T0,T0,T0,T0,0.2000,1.0000,0.0000
E56_77,T1,T1,T1,F,T1,T1,T1,T1,T1,T1,T1,1.0000,1.0000,1.0000
E56_78,T1,T1,F,F,T1,T1,T1,T1,T1,F,F,1.0000,1.0000,1.0000
E56_96,T1,F,F,F,F,T1,F,F,T1,T1,F,1.0000,1.0000,1.0000
E6_110,F,F,F,F,T2;0,F,T1,T0;0,T1;0,F,F,1.0000,,1.0000
E6_18,F,T0,F,T0,T0,T0,T0,T0,F,T1,T0,0.0000,0.0000,0.2500
E6_36,F,F,F,T1,F,F,F,T1,F,F,T0,1.0000,,0.5000
E6_91,-,T3;0,T1,-,F,T2;0,F,T1,F,F,F,1.0000,1.0000,1.0000
E6_95,F,F,F,F,T1,T1;0,F,T1,F,F,F,1.0000,1.0000,1.0000
E7_02,-,T1,T1,T1,F,T1,T1,F,F,F,T1,1.0000,1.0000,1.0000
E7_07,T1,T1,F,F,F,T1,T1,F,F,F,T1,1.0000,1.0000,1.0000
E7_08,T1,T1,F,F,F,T1,F,F,T1,F,T1,1.0000,1.0000,1.0000
E8_02,F,T0;1,F,T2;3,F,T2;0,F,F,F,T3;0,F,0.3333,1.0000,1.0000
E8_07,T0,T0,T0,T0,T0,T0,T0,T1,F,T1,T0,0.0000,0.0000,0.5000
E9_02,T0,T0,T1,F,T0,T1,T1,T1,F,T1,F,0.2500,1.0000,1.0000
