source,sheet_row,timestamp,Correction,Refinement,Synchronization,Context Enrichment,Expansion,Pruning,Other_selected,other_text
chinese,24,2026-02-01 11:53:41,1,0,0,1,1,0,0,
chinese,25,2026-02-01 20:56:38,1,1,0,1,0,0,0,
chinese,26,2026-02-02 12:17:25,1,1,1,1,1,1,0,
chinese,27,2026-02-02 15:41:17,0,1,0,1,0,0,0,
chinese,28,2026-02-03 16:04:19,1,1,1,1,0,1,0,
chinese,29,2026-02-03 16:22:57,1,1,1,1,1,1,0,
chinese,30,2026-02-03 16:45:12,1,1,1,1,1,1,0,
chinese,31,2026-02-04 13:09:19,1,1,0,1,0,1,0,
chinese,32,2026-02-04 13:11:23,0,0,0,0,1,1,0,
chinese,33,2026-02-04 13:12:40,1,0,0,1,0,0,0,
chinese,34,2026-02-04 13:23:54,0,1,1,1,0,0,0,
chinese,35,2026-02-04 13:21:55,0,0,0,1,0,0,0,
chinese,36,2026-02-04 13:14:26,1,1,1,1,1,1,0,
chinese,37,2026-02-04 13:25:41,1,1,0,1,0,0,0,
chinese,38,2026-02-04 13:26:00,1,1,1,0,0,0,0,
chinese,39,2026-02-04 13:57:19,1,1,0,0,0,0,0,
chinese,40,2026-02-04 15:02:01,0,0,0,0,0,0,1,提高开发效率
chinese,41,2026-02-04 17:30:55,1,1,0,0,1,1,0,
chinese,42,2026-02-06 09:19:15,1,1,0,0,1,1,0,
chinese,43,2026-02-08 00:17:14,1,0,0,1,1,1,0,
chinese,44,2026-02-08 14:04:50,1,1,0,0,0,1,0,
chinese,45,2026-02-12 23:19:38,1,0,0,1,0,1,0,
chinese,46,2026-02-28 16:02:42,0,1,0,1,0,1,0,
chinese,47,2026-04-19 00:46:26,1,1,0,1,1,1,0,
